name,timestamp,true_rating,tweet_id,dog_stage,retweet_count,favorite_count,dog_breed
Phineas,2017-08-01 16:23:56,1.3,892420643555336193,,7942.0,37141.0,
Tilly,2017-08-01 00:17:27,1.3,892177421306343426,,5900.0,31943.0,chihuahua
Archie,2017-07-31 00:18:03,1.2,891815181378084864,,3900.0,24064.0,chihuahua
Darla,2017-07-30 15:58:51,1.3,891689557279858688,,8097.0,40458.0,labrador_retriever
Franklin,2017-07-29 16:00:24,1.2,891327558926688256,,8781.0,38681.0,basset
,2017-07-29 00:08:17,1.3,891087950875897856,,2918.0,19447.0,chesapeake_bay_retriever
Jax,2017-07-28 16:27:12,1.3,890971913173991426,,1937.0,11339.0,appenzeller
,2017-07-28 00:22:40,1.3,890729181411237888,,17703.0,62651.0,pomeranian
Zoey,2017-07-27 16:25:51,1.3,890609185150312448,,4019.0,26744.0,irish_terrier
Cassie,2017-07-26 15:59:51,1.4,890240255349198849,doggo,6908.0,30634.0,pembroke
Koda,2017-07-26 00:31:25,1.3,890006608113172480,,6876.0,29482.0,samoyed
Bruno,2017-07-25 16:11:53,1.3,889880896479866881,,4683.0,26741.0,french_bulldog
,2017-07-25 01:55:32,1.3,889665388333682689,,9420.0,46160.0,pembroke
Ted,2017-07-25 00:10:02,1.2,889638837579907072,,4225.0,26024.0,french_bulldog
Stuart,2017-07-24 17:02:04,1.3,889531135344209921,,2117.0,14522.0,golden_retriever
Oliver,2017-07-24 00:19:32,1.3,889278841981685760,,5027.0,24221.0,whippet
Jim,2017-07-23 00:22:39,1.2,888917238123831296,,4221.0,27966.0,golden_retriever
Zeke,2017-07-22 16:56:37,1.3,888804989199671297,,3997.0,24556.0,golden_retriever
Ralphus,2017-07-22 00:23:06,1.3,888554962724278272,,3299.0,19008.0,siberian_husky
Gerald,2017-07-20 16:49:33,1.2,888078434458587136,,3265.0,20891.0,french_bulldog
Jeffrey,2017-07-19 16:06:48,1.3,887705289381826560,,5050.0,29004.0,basset
,2017-07-19 03:39:09,1.4,887517139158093824,,11013.0,44496.0,
Canela,2017-07-19 00:47:34,1.3,887473957103951883,,16929.0,66155.0,pembroke
,2017-07-18 16:08:03,1.3,887343217045368832,,9814.0,32338.0,mexican_hairless
,2017-07-18 00:07:08,1.2,887101392804085760,,5593.0,29366.0,samoyed
Maya,2017-07-17 16:17:36,1.3,886983233522544640,,7212.0,33676.0,chihuahua
Mingus,2017-07-16 23:58:41,1.3,886736880519319552,,3041.0,11551.0,kuvasz
Derek,2017-07-16 20:14:00,1.3,886680336477933568,,4183.0,21539.0,
Roscoe,2017-07-15 23:25:31,1.2,886366144734445568,,2995.0,20319.0,french_bulldog
,2017-07-15 16:51:35,1.2,886267009285017600,,4.0,116.0,
Waffles,2017-07-15 16:17:19,1.3,886258384151887873,,5926.0,26871.0,pug
,2017-07-15 02:45:48,1.2,886054160059072513,,104.0,0.0,
Jimbo,2017-07-14 22:10:11,1.2,885984800019947520,,6337.0,31321.0,blenheim_spaniel
Maisey,2017-07-13 15:58:47,1.3,885528943205470208,,6010.0,34544.0,pug
,2017-07-13 15:19:09,1.4,885518971528720385,,3502.0,19653.0,
,2017-07-12 16:03:00,1.3,885167619883638784,,4108.0,21034.0,malamute
Earl,2017-07-12 00:01:00,1.2,884925521741709313,,17028.0,74287.0,italian_greyhound
Lola,2017-07-11 20:47:12,1.3,884876753390489601,,5263.0,26789.0,chow
Kevin,2017-07-11 00:00:02,1.3,884562892145688576,,4428.0,23339.0,pug
,2017-07-10 15:58:53,1.4,884441805382717440,,5342.0,25969.0,pembroke
,2017-07-10 03:08:17,1.3,884247878851493888,,19094.0,69985.0,
Yogi,2017-07-09 21:29:42,1.2,884162670584377345,doggo,2802.0,19566.0,german_shepherd
Noah,2017-07-09 00:00:04,1.2,883838122936631299,,3247.0,20993.0,doberman
Bella,2017-07-08 00:28:19,0.5,883482846933004288,,9296.0,44097.0,golden_retriever
Grizzwald,2017-07-07 16:22:55,1.3,883360690899218434,,3483.0,21778.0,chow
,2017-07-07 00:17:54,1.3,883117836046086144,,6253.0,35681.0,golden_retriever
Rusty,2017-07-06 15:58:11,1.3,882992080364220416,,3670.0,22967.0,eskimo_dog
Gus,2017-07-06 00:46:41,1.2,882762694511734784,,4603.0,27169.0,labrador_retriever
Stanley,2017-07-05 15:48:34,1.3,882627270321602560,,5699.0,26832.0,pembroke
Alfy,2017-07-04 16:01:23,1.3,882268110199369728,,10890.0,43133.0,golden_retriever
Koko,2017-07-04 01:18:17,1.3,882045870035918850,,4604.0,28171.0,golden_retriever
Rey,2017-07-03 16:04:48,1.2,881906580714921986,,3197.0,23353.0,weimaraner
Gary,2017-07-03 00:11:11,1.3,881666595344535552,,10035.0,48669.0,saluki
,2017-07-02 15:32:16,1.4,881536004380872706,,14998.0,47510.0,samoyed
Elliot,2017-07-01 21:49:04,1.2,881268444196462592,,4924.0,22268.0,
Louis,2017-06-30 23:47:07,1.3,880935762899988482,,2624.0,16365.0,
,2017-06-30 19:35:32,1.2,880872448815771648,,3594.0,20451.0,pembroke
Bella,2017-06-29 16:39:47,1.2,880465832366813184,,5867.0,27393.0,golden_retriever
Jesse,2017-06-29 00:27:25,1.2,880221127280381952,,3956.0,25940.0,chihuahua
,2017-06-28 16:09:20,1.1,880095782870896641,,4082.0,26562.0,miniature_pinscher
Romeo,2017-06-28 00:42:13,1.3,879862464715927552,,3285.0,21485.0,basset
,2017-06-27 12:14:36,1.4,879674319642796034,,10.0,301.0,
Bailey,2017-06-27 00:10:17,1.2,879492040517615616,,2995.0,22544.0,german_short-haired_pointer
Duddles,2017-06-26 19:07:24,1.3,879415818425184262,,41767.0,101785.0,english_springer
Jack,2017-06-26 16:31:08,1.2,879376492567855104,,2939.0,16171.0,labrador_retriever
Steven,2017-06-25 18:56:45,1.1,879050749262655488,,4408.0,21669.0,
Beau,2017-06-25 16:07:47,1.3,879008229531029506,,2534.0,18240.0,vizsla
Snoopy,2017-06-25 00:45:22,1.3,878776093423087618,,3863.0,18633.0,italian_greyhound
,2017-06-24 13:24:20,1.3,878604707211726852,,6725.0,29014.0,
Shadow,2017-06-23 16:00:04,1.3,878281511006478336,,1217.0,7426.0,basset
Emmy,2017-06-23 01:10:23,1.4,878057613040115712,,6415.0,40460.0,french_bulldog
Aja,2017-06-22 03:54:17,1.3,877736472329191424,,17928.0,76569.0,chesapeake_bay_retriever
,2017-06-21 19:36:23,1.4,877611172832227328,,77.0,0.0,irish_setter
Penny,2017-06-21 15:58:08,1.2,877556246731214848,,3595.0,21841.0,basset
Dante,2017-06-21 00:06:44,1.3,877316821321428993,,4883.0,26359.0,saluki
Nelly,2017-06-20 16:29:50,1.2,877201837425926144,,5267.0,26090.0,pembroke
Ginger,2017-06-19 16:24:33,1.2,876838120628539392,,3151.0,19933.0,bloodhound
,2017-06-18 20:30:39,1.4,876537666061221889,,4408.0,22707.0,
Benedict,2017-06-18 16:57:37,1.3,876484053909872640,,2251.0,18067.0,golden_retriever
Venti,2017-06-17 16:52:05,1.3,876120275196170240,,4412.0,26893.0,bernese_mountain_dog
